2024-03-16 18:30:45,087 INFO    MainThread:318894 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-16 18:30:45,088 INFO    MainThread:318894 [wandb_setup.py:_flush():76] Configure stats pid to 318894
2024-03-16 18:30:45,088 INFO    MainThread:318894 [wandb_setup.py:_flush():76] Loading settings from /home/sandaruvi/.config/wandb/settings
2024-03-16 18:30:45,088 INFO    MainThread:318894 [wandb_setup.py:_flush():76] Loading settings from /home/sandaruvi/Workspace/Playground/marl_sumo_simulation/wandb/settings
2024-03-16 18:30:45,088 INFO    MainThread:318894 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-16 18:30:45,088 INFO    MainThread:318894 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'marl.py', 'program_abspath': '/home/sandaruvi/Workspace/Playground/marl_sumo_simulation/marl.py', 'program': '/home/sandaruvi/Workspace/Playground/marl_sumo_simulation/marl.py'}
2024-03-16 18:30:45,088 INFO    MainThread:318894 [wandb_init.py:_log_setup():526] Logging user logs to /home/sandaruvi/Workspace/Playground/marl_sumo_simulation/wandb/run-20240316_183045-vp3d54ye/logs/debug.log
2024-03-16 18:30:45,088 INFO    MainThread:318894 [wandb_init.py:_log_setup():527] Logging internal logs to /home/sandaruvi/Workspace/Playground/marl_sumo_simulation/wandb/run-20240316_183045-vp3d54ye/logs/debug-internal.log
2024-03-16 18:30:45,088 INFO    MainThread:318894 [wandb_init.py:init():566] calling init triggers
2024-03-16 18:30:45,088 INFO    MainThread:318894 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-16 18:30:45,089 INFO    MainThread:318894 [wandb_init.py:init():616] starting backend
2024-03-16 18:30:45,089 INFO    MainThread:318894 [wandb_init.py:init():620] setting up manager
2024-03-16 18:30:45,091 INFO    MainThread:318894 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-16 18:30:45,093 INFO    MainThread:318894 [wandb_init.py:init():628] backend started and connected
2024-03-16 18:30:45,098 INFO    MainThread:318894 [wandb_init.py:init():720] updated telemetry
2024-03-16 18:30:45,099 INFO    MainThread:318894 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-16 18:30:45,949 INFO    MainThread:318894 [wandb_run.py:_on_init():2262] communicating current version
2024-03-16 18:30:46,297 INFO    MainThread:318894 [wandb_run.py:_on_init():2271] got version response 
2024-03-16 18:30:46,298 INFO    MainThread:318894 [wandb_init.py:init():804] starting run threads in backend
2024-03-16 18:30:49,008 INFO    MainThread:318894 [wandb_run.py:_console_start():2241] atexit reg
2024-03-16 18:30:49,008 INFO    MainThread:318894 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-16 18:30:49,008 INFO    MainThread:318894 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-16 18:30:49,009 INFO    MainThread:318894 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-16 18:30:49,009 INFO    MainThread:318894 [wandb_init.py:init():847] run started, returning control to user process
